ABC-book	букварь
accordant	(with , to) согласный
afford	(быть в состоянии) позволить себе (часто can afford , be able to afford)
agreement	(взаимное) согласие
allowance	(годовое , месячное и т. п.) содержание
affront	(публичное) оскорбление
ape	(человекообразная) обезьяна
albumen	(яичный) белок
Jamaica	(ямайский) ром {см. тж. Список географических названий}
alarum	{см. alarm 1}
X	a kiss поцелуй (в конце письма) experimental экспериментальный
abatis	abatis засека
adman	admen сотрудник рекламного агентства
aide-de-camp	aides-de-camp адъютант
apex	apices верхушка
analytics	as использование метода анализа
amends	as компенсация
Reekie	Auld Reekie
SB	Bachelor of Science бакалавр (естественных) наук simultaneous broadcast одновременное радиовещание по нескольким станциям southbound в южном направлении
M.D.	Doctor of Medicine доктор медицины medical department военно-санитарный отдел
Osiris	egypt. Озирис
HD	heavy-duty (предназначенный) для тяжелого режима работы Hard Disk жесткий диск
HE	high explosive взрывчатое вещество His Eminence Его Преосвященство His Excellency
H.P.	high pressure высокое давление hire purchase покупка или продажа в рассрочку
Hon.	Honorary почетный Honourable достопочтенный
ID	identification идентификация inside dimensions внутренние размеры Intelligence Department разведывательный отдел
Pickwickian	in a Pickwickian sense
IT	Industrial Technology промышленная технология Information Technology информационная технология
IS	Information Systems информационные системы International Standard международный стандарт
ICA	International Cooperative Alliance Международный кооперативный альянс
IFC	International Finance Corporation Международная финансовая корпорация International Freighting Corporation Международная фрахтовая корпорация
ILO	International Labour Organization Международная организация труда
J.C.	Jesus Christ Иисус Христос Julius Caesar Юлий Цезарь
J.	joul джоуль judge судья justice правосудие
Lab.	Labour Party лейбористская партия (в Англии) Labrador п-ов Лабрадор
LP	Labour Party лейбористская партия (в Англии) long-playing (record) долгоиграющая (пластинка) low pressure низкое давление
L.C.	Law Court суд Library of Congress Библиотека конгресса США l.c.
L.	left левый litre литр L.
L.A.	Legislative Assembly законодательное собрание Los Angeles г. Лос-Анджелес
Lethean	Lethean stream
L	Liberal член партии либералов
LSS	life-saving service служба безопасности на воде Life Support System система жизнеобеспечения
LCD	Liquid Crystal Display жидкокристаллический индикатор Lowest Common Denominator наименьший общий знаменатель
LT	long ton длинная или английская тонна (1016 кг) low tension низкое напряжение
LSD	lysergic acid diethylamide ЛСД (наркотик , вызывающий галлюцинации) Least Significant Digit цифра самого младшего разряда
MG	Machine Gun пулемет Major General генерал-майор
MN	magnetic north магнитный север Minnesota Миннесота
M.O.	mail order заказ (товаров) по почте Medical Officer офицер медицинской службы Missouri Миссури
MS	manuscript рукопись motor ship теплоход
M	mass масса molecular weight молекулярный вес moment момент
M.C.	Master of Ceremonies ведущий
M.E.	Mechanical Engineer инженер-механик Middle English среднеанглийский язык
ME	medical examiner патологоанатом Middle East обыкн. Ближний Восток
MF	medium frequency средняя частота Middle French средне-французский
M.P.	Member of Parliament член парламента Metropolitan Police Лондонская полиция Military Police военная полиция m.p.
MI	Military Intelligence военная разведка Michigan Мичиган
MVA	Missouri Valley Authority Администрация долины Миссури (США) MegaVolt Ampere мегавольт-ампер
NAS	National Academy of Science Национальная академия наук (США) naval air station база морской авиации
NG	National Guard Национальная гвардия (США) No Good бесполезно
NM	National Museum Национальный музей (США) nautical mile морская миля night message почтовый текст , отправляемый телеграфом ночью по льготному тарифу
NRC	National Research Council Национальный научно-исследовательский совет (США) Nuclear Regulatory Commission Комиссия по ядерной регламентации
NSF	"National Science Foundation Национальный научный фонд (США) not sufficient funds "нет достаточного покрытия" (отметка банка на неоплаченном чеке или векселе)"
NET	NETwork сеть National Educational Television национальное образовательное телевидение
N.T.	New Testament Новый завет (евангелие) Northern Territory Северная территория (Австралия)
NF	Newfoundland Ньюфаундленд (провинция Канады) No Funds финансово не обеспечено
NL	night letter почтовый текст
NC	nitrocellulose нитроцеллюлоза no charge без взимания сбора
NV	nonvoting не голосующий Nevada Невада
NA	"North America Северная Америка Narcotics Anonymous "анонимные наркоманы"
